Shigella dysenteriae Sd197, complete genome
Product Name	Start	End	Strand	Length	Gi	GeneID	Locus	Locus_tag	COG(s)
thr operon leader peptide 	190	255	+	21	82775383	3799883	thrL	SDY_0001	-
bifunctional aspartokinase I/homeserine dehydrogenase I 	336	2798	+	820	82775384	3796040	thrA	SDY_0002	COG0527E
homoserine kinase 	2800	3732	+	310	82775385	3796041	thrB	SDY_0003	COG0083E
threonine synthase 	3733	5019	+	428	82775386	3796042	thrC	SDY_0004	COG0498E
hypothetical protein SDY_0005 	5233	5529	+	98	82775387	3796043	-	SDY_0005	-
hypothetical protein SDY_0006 	5682	6458	-	258	82775388	3796044	yaaA	SDY_0006	COG3022S
inner membrane transport protein 	6749	7951	-	400	82775389	3796045	yaaJ	SDY_0007	COG1115E
transaldolase B 	8230	9183	+	317	82775390	3796046	talB	SDY_0008	COG0176G
molybdenum cofactor biosynthesis protein 	9298	9885	+	195	82775391	3796047	mogA	SDY_0009	COG0521H
hypothetical protein SDY_0010 	9920	10486	-	188	82775392	3796048	yaaH	SDY_0010	COG1584S
hypothetical protein SDY_0011 	10635	11348	-	237	82775393	3796049	-	SDY_0011	COG4735S
hypothetical protein SDY_0012 	11374	11733	-	119	82775394	3796050	yaaI	SDY_0012	-
molecular chaperone DnaK 	12155	14071	+	638	82775395	3796051	dnaK	SDY_0013	COG0443O
chaperone protein DnaJ 	14160	15290	+	376	82775396	3796052	dnaJ	SDY_0014	COG0484O
Gef 	15394	15603	-	69	82775397	3796053	gef	SDY_0015	-
iso-IS1 ORF2 	15865	16080	-	71	82775398	3796054	-	SDY_0016	COG1662L
iso-IS1 ORF2 	16077	16259	-	60	82775399	3796055	-	SDY_0017	COG1662L
pH-dependent sodium/proton antiporter 	16905	18071	+	388	82775400	3796056	nhaA	SDY_0018	COG3004P
transcriptional activator NhaR 	18131	19036	+	301	82775401	3796057	nhaR	SDY_0019	COG0583K
hypothetical protein SDY_0020 	19074	19601	-	175	82775402	3796058	-	SDY_0020	-
hypothetical protein SDY_0021 	19592	19816	-	74	82775403	3797314	-	SDY_0021	-
iso-IS1 ORF2 	20011	20406	+	131	82775404	3797315	-	SDY_0022	COG1662L
IS1 ORF2 	20512	20889	-	125	82775405	3797316	insB	SDY_0023	COG1662L
IS1 ORF1 	20934	21209	-	91	82775406	3797317	insA	SDY_0024	COG3677L
bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase 	21788	24385	+	865	82775407	3797318	acnB	SDY_0025	COG1049C
hypothetical protein SDY_0026 	24560	24922	+	120	161950172	3797319	yacL	SDY_0026	COG3112S
S-adenosylmethionine decarboxylase 	24960	25754	-	264	82775409	3797320	speD	SDY_0027	COG1586E
spermidine synthase 	25770	26636	-	288	82775410	3797321	speE	SDY_0028	COG0421E
hypothetical protein SDY_0029 	26742	27212	-	156	82775411	3797322	yacC	SDY_0029	-
multicopper oxidase 	27255	28805	+	516	82775412	3797323	yacK	SDY_0030	COG2132Q
IS1 ORF1 	29799	30074	+	91	82779654	3797324	insA	SDY_0031	COG3677L
IS1 ORF2 	30119	30496	+	125	82775413	3797325	insB	SDY_0032	COG1662L
hypoxanthine phosphoribosyltransferase 	32224	32760	+	178	161950171	3797327	hpt	SDY_0034	COG0634F
carbonic anhydrase 	32801	33463	-	220	82775415	3797328	yadF	SDY_0035	COG0288P
putative ATP-binding component of a transport system 	33572	34498	+	308	82775416	3797329	yadG	SDY_0036	COG1131V
hypothetical protein SDY_0037 	34495	35265	+	256	82775417	3797330	yadH	SDY_0037	COG1682GM
putative PTS enzyme II B component 	35370	35810	+	146	82775418	3797331	yadI	SDY_0038	COG2893G
hypothetical protein SDY_0039 	35874	36287	+	137	82775419	3797332	-	SDY_0039	-
hypothetical protein SDY_0040 	36265	37104	+	279	82775420	3797333	yadE	SDY_0040	COG0726G
aspartate alpha-decarboxylase 	37108	37488	-	126	82775421	3799806	panD	SDY_0041	COG0853H
hypothetical protein SDY_0042 	37762	38562	+	266	82775422	3799807	yadD	SDY_0042	COG5464S
IS1 ORF1 	38591	38866	+	91	82775423	3799808	insA	SDY_0043	COG3677L
IS1 ORF2 	38911	39288	+	125	82775424	3799809	insB	SDY_0044	COG1662L
30S ribosomal protein S20 	39604	39867	-	87	82775425	3799810	rpsT	SDY_0045	COG0268J
hypothetical protein SDY_0046 	39970	40188	+	72	82775426	3799811	-	SDY_0046	-
bifunctional riboflavin kinase/FMN adenylyltransferase 	40196	41137	+	313	82775427	3799812	ribF	SDY_0047	COG0196H
isoleucyl-tRNA synthetase 	41180	43996	+	938	82775428	3799813	ileS	SDY_0048	COG0060J
lipoprotein signal peptidase 	43996	44490	+	164	82775429	3799814	lspA	SDY_0049	COG0597MU
FKBX-type 16KD peptidyl-prolyl cis-trans isomerase 	44578	45027	+	149	82775430	3799815	slpA	SDY_0050	COG1047O
4-hydroxy-3-methylbut-2-enyl diphosphate reductase 	45029	45979	+	316	82775431	3799816	ispH	SDY_0051	COG0761IM
ribonucleoside hydrolase RihC 	46045	46959	+	304	82775432	3799817	yaaF	SDY_0052	COG1957F
dihydrodipicolinate reductase 	47126	47947	+	273	82775433	3799818	dapB	SDY_0053	COG0289E
carbamoyl phosphate synthase small subunit 	48405	49553	+	382	82775434	3799819	carA	SDY_0054	COG0505EF
carbamoyl phosphate synthase large subunit 	49571	52792	+	1073	82775435	3799820	carB	SDY_0055	COG0458EF
DNA-binding transcriptional activator CaiF 	53053	53409	+	118	161950170	3799821	caiF	SDY_0056	-
carnitine operon protein CaiE 	53534	54145	-	203	82775437	3799822	caiE	SDY_0057	COG0663R
carnitinyl-CoA dehydratase 	54130	55023	-	297	82775438	3799823	caiD	SDY_0058	COG1024I
putative crotonobetaine/carnitine-CoA ligase 	55024	56592	-	522	82775439	3799824	caiC	SDY_0059	COG0318IQ
crotonobetainyl-CoA:carnitine CoA-transferase 	56651	57868	-	405	82775440	3798940	caiB	SDY_0060	COG1804C
crotonobetainyl-CoA dehydrogenase 	57997	59139	-	380	82775441	3798941	caiA	SDY_0061	COG1960I
L-carnitine/gamma-butyrobetaine antiporter 	59170	60684	-	504	82775442	3798942	caiT	SDY_0062	COG1292M
putative electron transfer flavoprotein FixA 	61156	61926	+	256	161950169	3798943	fixA	SDY_0063	COG2086C
